player,org,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
Addicted,SAW,0.88,159.7,0.79,65%,116.5,0.58,0.26,0.06,0.06,34%,14%
Dinxx,WVU,0.88,196.4,0.90,66%,129.6,0.68,0.18,0.18,0.21,29%,17%
tex,LEV,0.88,194.5,0.91,67%,130.0,0.69,0.19,0.12,0.14,33%,16%
PepegaPig,DawN,0.88,189.8,0.94,69%,120.6,0.69,0.23,0.09,0.10,23%,18%
Sacake,VLNT,0.87,168.9,0.78,68%,110.6,0.56,0.34,0.08,0.04,26%,8%
SUPERPHROG,HERO,0.87,175.3,0.90,61%,124.1,0.65,0.13,0.12,0.11,33%,17%
Mel,VLNT,0.87,170.1,0.86,71%,110.7,0.62,0.36,0.04,0.14,28%,15%
marceline,SOL,0.87,203.6,0.94,64%,136.3,0.73,0.11,0.17,0.16,30%,12%
riv,RF.GC,0.86,162.6,0.78,72%,102.8,0.56,0.33,0.07,0.10,26%,24%
sherb,Laze,0.86,173.0,0.82,68%,116.9,0.61,0.18,0.09,0.10,26%,18%
Nexi,NAOS,0.86,170.4,0.83,72%,111.1,0.61,0.24,0.05,0.09,28%,11%
monSi,BLIN,0.86,164.6,0.80,68%,105.9,0.55,0.34,0.07,0.08,24%,16%
Vorwenn,BAR,0.86,167.0,0.82,70%,112.4,0.57,0.23,0.06,0.10,31%,22%
heybay,TE,0.86,163.3,0.79,74%,108.9,0.56,0.40,0.06,0.08,25%,9%
bruninej,,0.86,181.4,0.83,67%,116.6,0.65,0.31,0.12,0.11,23%,12%
smokay,OFF,0.86,170.8,0.82,64%,117.4,0.60,0.26,0.07,0.10,34%,9%
caydeN,DSY,0.86,159.8,0.77,70%,107.9,0.53,0.43,0.07,0.09,25%,10%
Famzzam,SNS,0.86,156.5,0.79,68%,103.5,0.55,0.28,0.04,0.09,25%,10%
qwq,,0.86,194.6,0.90,63%,133.1,0.71,0.15,0.18,0.19,23%,24%
habibti,MESO,0.85,185.5,0.84,61%,124.3,0.65,0.21,0.11,0.13,30%,10%
erin,DGL,0.85,188.3,0.81,66%,127.0,0.63,0.29,0.12,0.15,23%,9%
Rosé,PCF,0.85,157.8,0.84,67%,107.7,0.56,0.26,0.07,0.08,28%,33%
zeddy,KPI,0.85,172.1,0.83,71%,110.3,0.57,0.38,0.07,0.07,17%,7%
Aero,AWAK,0.85,179.3,0.84,65%,119.6,0.64,0.21,0.06,0.09,34%,16%
Vefa,,0.85,167.5,0.81,66%,112.2,0.61,0.17,0.09,0.07,28%,10%
devy,,0.85,209.0,0.90,66%,138.2,0.73,0.15,0.20,0.19,27%,19%
Mayzin,K7,0.84,176.3,0.74,71%,121.0,0.59,0.40,0.05,0.10,23%,10%
HearthBeat,SNS,0.84,153.3,0.75,70%,105.2,0.53,0.37,0.04,0.11,27%,8%
vii,TBS,0.84,197.3,0.83,64%,134.7,0.70,0.18,0.13,0.17,28%,13%
nati,LEV.GC,0.84,162.2,0.80,64%,114.0,0.57,0.23,0.04,0.08,37%,8%
jas,JL,0.84,193.8,0.86,67%,131.3,0.67,0.20,0.16,0.23,29%,33%
Matt,Burg,0.84,157.3,0.77,66%,106.2,0.56,0.24,0.06,0.12,25%,18%
kzr,,0.84,178.0,0.78,61%,125.0,0.61,0.24,0.08,0.12,38%,14%
drope,,0.84,160.2,0.80,65%,106.4,0.56,0.33,0.09,0.08,19%,
devilasxa,O1O,0.84,163.3,0.74,68%,109.7,0.55,0.43,0.04,0.08,30%,10%
Cille,HERO,0.83,157.0,0.79,68%,98.2,0.58,0.33,0.02,0.06,25%,11%
POISED,TSM,0.83,160.9,0.81,72%,104.9,0.57,0.36,0.05,0.09,29%,14%
Grmekista,DIA,0.83,155.9,0.77,68%,110.7,0.54,0.32,0.06,0.07,20%,5%
meleliita,LEV.GC,0.83,187.7,0.80,70%,120.2,0.64,0.29,0.14,0.11,35%,7%
RIZEU,YDZ,0.83,177.3,0.72,75%,113.9,0.56,0.51,0.06,0.12,24%,13%
casuaL,,0.83,166.6,0.77,67%,113.0,0.57,0.33,0.05,0.10,28%,4%
moner,R8,0.83,170.4,0.79,66%,117.9,0.57,0.17,0.10,0.10,23%,18%
Atisca,K7,0.83,191.5,0.84,62%,122.6,0.68,0.12,0.17,0.12,19%,3%
Biank,TE,0.82,165.5,0.78,64%,106.9,0.54,0.34,0.10,0.11,16%,35%
Dagr1s,GenZ,0.81,184.8,0.84,66%,121.4,0.66,0.15,0.11,0.17,25%,6%
6sonya,O1O,0.81,151.8,0.77,66%,106.8,0.55,0.23,0.06,0.07,37%,14%
Buld,GN,0.81,173.1,0.82,70%,112.9,0.59,0.25,0.11,0.11,28%,4%
murizzz,RETA,0.81,162.7,0.77,72%,112.1,0.56,0.30,0.05,0.09,26%,11%
fiziq,YFP,0.80,168.4,0.76,72%,110.6,0.54,0.37,0.11,0.09,23%,6%
GrTw,SAW,0.80,175.9,0.75,66%,120.8,0.58,0.18,0.12,0.11,25%,10%
TRIPCIEW,RLF,0.80,170.1,0.77,68%,111.5,0.59,0.30,0.06,0.14,28%,19%
blu,LOUD.GC,0.79,131.3,0.71,65%,87.4,0.47,0.33,0.05,0.12,36%,17%
Jow,EXL,0.78,142.0,0.76,65%,96.0,0.52,0.19,0.05,0.10,35%,12%
Aniemal,Wild,0.77,158.4,0.73,64%,109.1,0.54,0.18,0.08,0.07,22%,16%
BennY,CGN,0.76,150.5,0.77,65%,98.1,0.53,0.23,0.08,0.13,28%,8%
lucas,MFC,0.76,152.5,0.65,72%,94.8,0.49,0.49,0.04,0.09,20%,13%
albus,RLF,0.75,160.3,0.73,65%,110.1,0.56,0.22,0.06,0.09,28%,11%
pvS,SES,0.74,158.7,0.70,60%,104.1,0.55,0.22,0.06,0.08,22%,10%
Fragger,SAW,0.74,153.4,0.70,65%,105.1,0.55,0.33,0.05,0.10,30%,24%
Adenina,9ZG.GC,0.74,137.5,0.68,68%,90.7,0.48,0.36,0.04,0.08,23%,13%
Boaster,FNC,0.71,122.2,0.68,70%,76.9,0.43,0.32,0.06,0.12,25%,14%
Speedy,TBS,0.67,139.8,0.58,62%,97.0,0.45,0.38,0.06,0.08,29%,15%
Kr1stal,XLG,,234.6,1.23,,154.7,0.77,0.28,0.10,0.10,,
Rarga,XLG,,267.8,1.35,,173.0,0.96,0.19,0.24,0.17,,
MarT1n,XLG,,154.3,0.86,,102.1,0.52,0.37,0.06,0.05,,
MrCANI,XLG,,181.5,1.03,,116.7,0.68,0.38,0.04,0.03,,
happywei,XLG,,202.0,0.97,,131.7,0.68,0.25,0.10,0.10,,
Volay,ALG,,166.9,0.81,,120.2,0.61,0.22,0.06,0.08,,
Link,ALG,,165.5,0.71,,112.6,0.56,0.35,0.08,0.11,,
Chaos,ALG,,215.4,1.04,,148.7,0.79,0.18,0.15,0.16,,
