player,org,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
Noia,SR,1.05,196.9,1.10,70%,132.0,0.69,0.25,0.06,0.08,27%,19%
Saiz,BAR,1.05,194.5,1.06,66%,130.3,0.72,0.14,0.10,0.08,40%,11%
soleil,,1.05,206.8,1.00,74%,135.5,0.71,0.37,0.07,0.06,26%,11%
jakee,YFP,1.05,209.9,1.05,72%,136.4,0.76,0.38,0.09,0.09,31%,17%
ponix,9ZG.GC,1.05,189.4,0.98,71%,123.6,0.68,0.36,0.06,0.05,26%,23%
Zap,2G,1.05,186.4,1.02,75%,126.7,0.66,0.36,0.06,0.06,27%,14%
bao,LS,1.05,200.0,1.08,72%,135.7,0.72,0.28,0.06,0.05,33%,12%
panini,COL,1.04,216.6,1.01,75%,140.9,0.74,0.33,0.11,0.09,28%,7%
soulcas,APK,1.04,188.9,1.07,71%,126.6,0.68,0.34,0.06,0.07,35%,16%
Kazler,RF.GC,1.04,206.0,1.05,75%,135.4,0.72,0.31,0.11,0.13,32%,28%
vit9ine,,1.04,199.1,1.06,73%,132.0,0.71,0.28,0.08,0.08,27%,18%
NicoMachine,AK,1.04,184.0,0.98,80%,120.0,0.63,0.50,0.06,0.09,25%,21%
Logan,Burg,1.04,211.1,0.99,71%,148.7,0.72,0.30,0.07,0.08,27%,19%
sarahcat,SR,1.04,229.6,1.10,71%,147.7,0.80,0.22,0.16,0.17,30%,5%
Poly,SISU,1.04,188.9,1.03,79%,124.0,0.68,0.43,0.07,0.06,30%,10%
starkk,NOVO,1.04,184.9,1.00,69%,120.1,0.67,0.31,0.07,0.06,29%,11%
Miyori,GX.GC,1.04,220.5,1.08,68%,141.5,0.78,0.21,0.14,0.12,30%,22%
kiNgg,LEV,1.04,185.1,1.04,75%,120.2,0.67,0.36,0.08,0.07,32%,17%
sickrey,R8,1.04,192.7,1.00,69%,127.0,0.67,0.31,0.05,0.05,30%,6%
LuoK1ng,TE,1.04,201.6,1.10,74%,131.3,0.75,0.35,0.07,0.04,33%,
Flashback,DRX,1.04,202.3,1.16,76%,133.4,0.74,0.23,0.10,0.05,30%,18%
Fizzy,MOUZ,1.04,224.6,1.10,70%,147.0,0.81,0.17,0.07,0.09,30%,13%
brk,SAW,1.04,231.1,1.01,61%,153.7,0.77,0.19,0.19,0.19,23%,10%
Smurfette,GX.GC,1.04,229.1,1.12,69%,151.4,0.84,0.15,0.19,0.19,28%,27%
AvovA,APK,1.04,171.3,1.04,74%,112.4,0.64,0.39,0.07,0.07,39%,22%
Mojer,NAOS,1.03,239.3,1.07,71%,152.2,0.81,0.23,0.16,0.18,25%,19%
d3ffo,VLNT,1.03,219.0,1.06,66%,148.2,0.79,0.15,0.17,0.13,25%,23%
Jesse,BAR,1.03,195.3,1.01,68%,129.5,0.70,0.30,0.08,0.09,35%,14%
sacred,YFP,1.03,208.5,1.04,67%,133.6,0.75,0.27,0.10,0.16,31%,15%
Cowpie867,UCI,1.03,216.1,1.07,69%,143.8,0.76,0.18,0.15,0.15,36%,6%
Teague,TACO,1.03,199.7,1.01,71%,126.8,0.70,0.39,0.07,0.08,27%,19%
mikeE,BLIN,1.03,214.8,1.02,70%,139.3,0.76,0.21,0.13,0.11,32%,13%
iluri,MOUZ,1.03,180.2,1.00,77%,122.8,0.66,0.32,0.05,0.07,42%,16%
ind1n,puGG,1.03,219.1,1.05,73%,146.1,0.77,0.16,0.15,0.15,23%,24%
Annie,O1O,1.03,214.4,1.04,70%,141.9,0.78,0.12,0.19,0.18,35%,23%
jowa,TM,1.03,193.6,0.93,75%,128.5,0.65,0.40,0.06,0.07,30%,8%
Dambi,SPG,1.03,230.4,1.05,74%,147.2,0.79,0.24,0.18,0.16,24%,9%
Tag,DSY,1.03,193.8,1.02,69%,136.4,0.71,0.26,0.07,0.09,38%,14%
Tim,ZMM.B,1.03,211.5,0.98,77%,133.0,0.74,0.42,0.10,0.10,21%,6%
Okeanos,BLIN,1.02,234.0,1.09,71%,151.4,0.84,0.22,0.17,0.20,28%,14%
delz1k,RETA,1.02,192.7,0.99,76%,122.4,0.67,0.42,0.06,0.09,24%,26%
tdawgg,QOR,1.02,168.5,0.98,75%,115.9,0.60,0.44,0.05,0.07,22%,45%
dth,KAMI,1.02,200.7,1.04,73%,135.2,0.72,0.22,0.10,0.08,31%,8%
LizA,VLNT,1.02,244.3,1.08,71%,156.3,0.84,0.18,0.23,0.23,27%,18%
